Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
ceilingFanLightPlayer,blocks,Light,,,Ceiling Fan Light,,Deckenventilator-Licht,Lámpara de ventilador de techo,Lampe de ventilateur de plafond,Lampadario con ventilatore,シーリングファン照明,천장형 팬 조명,"Sufit — wentylator, oświetlenie",Luz de Ventilador de Teto,Потолочный вентилятор-светильник,Tavan Havalandırması Işığı,吊扇灯,吊扇燈,Lámpara de ventilador de techo
signShopOpenPlayer,blocks,Sign,,,Shop Sign: Open,,Ladenschild: Geöffnet,Cartel de tienda: Abierto,Enseigne de magasin : Ouvert,"Cartello negozio ""Aperto""",店舗看板:営業中,상점 간판: 영업 중,Szyld sklepu: Otwarte,Placa de Loja: Aberta,Табличка в магазине: «Открыто»,Dükkan Tabelası: Açık,商店标志：营业中,商店招牌：營業,Cartel de tienda: Abierto
deskLampLightPlayer,blocks,Light,,,Desk Lamp,,Schreibtischlampe,Lámpara de escritorio,Lampe de bureau,Lampada da scrivania,デスクランプ,책상 전등,Lampka stołowa,Luminária de Escrivaninha,Настольная лампа,Çalışma Lambası,办公桌台灯,桌燈,Lámpara de escritorio
lightPlayerVariantHelper,blocks,Light,,,Working Lamps and Lights,,Einfache Glühbirne,Bombilla básica,Ampoule simple,Lampadina di base,ベーシック電球,기본 전구,Podstawowa żarówka,Lâmpada Básica,Базовая лампочка,Temel Ampul,基础灯泡,標準燈泡,Bombilla básica
sconce1LightShadowPlayer,blocks,Light,,,"Sconce Light",,"Wandlicht, Schatten",Sombras de aplique,"Applique, ombres","Lampada da parete, ombre",突き出し燭台照明,"망루 조명","Lampa z kinkietem, cienie",Luz de Arandela (sombras),"Светильник бра, тени","Aplik Lamba, Gölgeler",壁灯-阴影,壁燈，暗部,Sombras de aplique
porchLight01Player,blocks,Light,,,Old Outdoor Light,,Altes Außenlicht,Vieja lámpara exterior,Vieille lampe extérieure,Vecchia luce da portico,古い屋外照明,낡은 야외 조명,Stara lampa zewnętrzna,Luz Externa Antiga,Старый уличный фонарь,Eski Dış Mekan Lambası,旧室外灯,老式戶外燈,Vieja lámpara exterior
porchLight04BrassPlayer,blocks,Light,,,Brass Outdoor Light,,Messing-Außenlicht,Lámpara exterior de latón,Lampe extérieure en laiton,Luce da portico di ottone,真鍮製屋外照明,놋쇠 야외 조명,Mosiężna lampa zewnętrzna,Luz Externa de Latão,Латунный уличный фонарь,Pirinç Dış Mekan Lambası,铜制室外灯,黃銅戶外燈,Lámpara exterior de latón
electricFuseBox,blocks,Electricity,,,Wireless Wire Relay,,,,,,,,,,,,,,
electricFuseBoxDesc,blocks,Electricity,,,Use this in place of a Wire Relay to connect devices without those pesky cables ruining the aesthetic of your base.,,,,,,,,,,,,,,
porchLight04Player,blocks,Light,,,Iron Outdoor Light,,,,,,,,,,,,,,
ceilingLight02Player,blocks,Light,,,Silver Dome Light,,,,,,,,,,,,,,
ceilingLight02BrassPlayer,blocks,Light,,,Brass Dome Light,,,,,,,,,,,,,,
ceilingLight04Player,blocks,Light,,,Warehouse Ceiling Light,,,,,,,,,,,,,,
ceilingLight05Player,blocks,Light,,,Silver Glass Light,,,,,,,,,,,,,,
ceilingLight05BrassPlayer,blocks,Light,,,Brass Glass Light,,,,,,,,,,,,,,
recessedLightPlayer,blocks,Light,,,Recessed Light,,,,,,,,,,,,,,
wallLight01Player,blocks,Light,,,Warehouse Outdoor Light,,,,,,,,,,,,,,
fluorescentLightPlayer,blocks,Light,,,Hanging Fluorescent Light,,,,,,,,,,,,,,
trackLightPlayer,blocks,Light,,,Track Light,,,,,,,,,,,,,,
